Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.5426,0.625,0.4167,0.5,-0.049,-0.1175
1,0.6,0.4753,0.6,0.4105,0.4875,-0.0959,-0.1683
2,0.65,0.5316,0.65,0.4225,0.5121,0.0,0.0
3,0.625,0.5165,0.625,0.5383,0.5364,-0.0067,-0.0099
4,0.5897,0.3914,0.5897,0.3985,0.4756,-0.0986,-0.174
5,0.6923,0.6095,0.6923,0.7895,0.5893,0.1,0.2294
6,0.6154,0.5237,0.6154,0.4324,0.5079,-0.0976,-0.1644
7,0.6667,0.6302,0.6667,0.4444,0.5333,0.0,0.0
8,0.5897,0.4734,0.5897,0.4259,0.4946,-0.1429,-0.2041
9,0.641,0.5858,0.641,0.4386,0.5208,-0.05,-0.1147
Mean,0.6295,0.528,0.6295,0.4717,0.5158,-0.0441,-0.0724
Std,0.0319,0.0672,0.0319,0.112,0.0306,0.0666,0.1244
