Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.544,0.65,0.4225,0.5121,0.0,0.0
1,0.65,0.5549,0.65,0.4225,0.5121,0.0,0.0
2,0.625,0.5426,0.625,0.5833,0.5847,0.0683,0.0759
3,0.75,0.6346,0.75,0.8194,0.7007,0.3421,0.4543
4,0.6154,0.6614,0.6154,0.4049,0.4884,-0.0503,-0.1214
5,0.6667,0.7633,0.6667,0.4444,0.5333,0.0,0.0
6,0.5897,0.4615,0.5897,0.5736,0.5802,0.04,0.0403
7,0.641,0.5917,0.641,0.4386,0.5208,-0.05,-0.1147
8,0.5897,0.4852,0.5897,0.5736,0.5802,0.04,0.0403
9,0.6923,0.4882,0.6923,0.6852,0.621,0.1429,0.2041
Mean,0.647,0.5727,0.647,0.5368,0.5634,0.0533,0.0579
Std,0.046,0.0881,0.046,0.1298,0.0607,0.1104,0.1586
