Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.4,0.4121,0.4,0.3774,0.388,-0.3636,-0.366
1,0.725,0.6126,0.725,0.7156,0.7072,0.3413,0.3577
2,0.55,0.5124,0.55,0.4598,0.49,-0.1392,-0.1615
3,0.7,0.7555,0.7,0.6922,0.66,0.2405,0.2789
4,0.4872,0.51,0.4872,0.4696,0.4773,-0.1504,-0.1514
5,0.641,0.6997,0.641,0.5843,0.5852,0.0455,0.0542
6,0.5897,0.608,0.5897,0.5736,0.5802,0.04,0.0403
7,0.6154,0.6524,0.6154,0.608,0.6113,0.1176,0.1179
8,0.6923,0.5695,0.6923,0.6696,0.6621,0.2174,0.2362
9,0.5897,0.5178,0.5897,0.5736,0.5802,0.04,0.0403
Mean,0.599,0.585,0.599,0.5724,0.5742,0.0389,0.0447
Std,0.0957,0.0968,0.0957,0.1034,0.0924,0.2,0.2109
