Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6,0.5275,0.6,0.6,0.6,0.1209,0.1209
1,0.55,0.5261,0.55,0.55,0.55,0.011,0.011
2,0.65,0.5632,0.65,0.63,0.6333,0.1765,0.1816
3,0.6,0.5783,0.6,0.6135,0.6053,0.1489,0.1498
4,0.6923,0.6272,0.6923,0.6818,0.6852,0.28,0.282
5,0.7179,0.6686,0.7179,0.713,0.715,0.3529,0.3536
6,0.5385,0.4601,0.5385,0.5385,0.5385,-0.0385,-0.0385
7,0.7179,0.6879,0.7179,0.7238,0.7204,0.3774,0.378
8,0.5385,0.5074,0.5385,0.5556,0.5457,0.0,0.0
9,0.4872,0.4114,0.4872,0.4476,0.4634,-0.189,-0.1946
Mean,0.6092,0.5558,0.6092,0.6054,0.6057,0.124,0.1244
Std,0.078,0.0836,0.078,0.0819,0.0798,0.1723,0.1738
