Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6,0.478,0.6,0.5578,0.5661,0.0244,0.0262
1,0.6,0.6044,0.6,0.5733,0.581,0.0588,0.0605
2,0.525,0.4231,0.525,0.4439,0.474,-0.1801,-0.2
3,0.675,0.7582,0.675,0.653,0.6401,0.1925,0.2138
4,0.5128,0.4771,0.5128,0.4871,0.4974,-0.1109,-0.1127
5,0.7436,0.6953,0.7436,0.7381,0.7184,0.3478,0.378
6,0.6154,0.6553,0.6154,0.5931,0.6008,0.0816,0.083
7,0.6667,0.6361,0.6667,0.6605,0.6631,0.2353,0.2357
8,0.6154,0.6435,0.6154,0.5931,0.6008,0.0816,0.083
9,0.5897,0.5207,0.5897,0.5556,0.5671,0.0,0.0
Mean,0.6144,0.5892,0.6144,0.5856,0.5909,0.0731,0.0768
Std,0.0651,0.1033,0.0651,0.0807,0.0691,0.149,0.16
