Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.55,0.5261,0.55,0.5345,0.541,-0.0227,-0.0229
1,0.475,0.4986,0.475,0.4833,0.4789,-0.1351,-0.1353
2,0.525,0.3805,0.525,0.4762,0.4942,-0.1377,-0.1443
3,0.55,0.5151,0.55,0.4938,0.5119,-0.0976,-0.1048
4,0.5385,0.4329,0.5385,0.5233,0.5296,-0.0354,-0.0356
5,0.6923,0.7086,0.6923,0.6741,0.6753,0.25,0.2582
6,0.5897,0.4911,0.5897,0.5736,0.5802,0.04,0.0403
7,0.6154,0.5814,0.6154,0.6229,0.6187,0.1509,0.1512
8,0.7692,0.6908,0.7692,0.7743,0.7712,0.4906,0.4914
9,0.641,0.5547,0.641,0.6277,0.6327,0.16,0.1612
Mean,0.5946,0.538,0.5946,0.5784,0.5834,0.0663,0.0659
Std,0.083,0.0974,0.083,0.0914,0.0872,0.1891,0.1916
