Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.6291,0.625,0.5959,0.6007,0.1018,0.1067
1,0.575,0.5069,0.575,0.536,0.5474,-0.018,-0.0188
2,0.625,0.5714,0.625,0.6074,0.6127,0.1329,0.135
3,0.6,0.4602,0.6,0.5373,0.5467,-0.0127,-0.0147
4,0.5641,0.6287,0.5641,0.5556,0.5595,0.0,0.0
5,0.641,0.6198,0.641,0.6277,0.6327,0.16,0.1612
6,0.5641,0.5488,0.5641,0.5134,0.5313,-0.0851,-0.0898
7,0.6154,0.5947,0.6154,0.5931,0.6008,0.0816,0.083
8,0.4872,0.4246,0.4872,0.4654,0.4753,-0.2,-0.2015
9,0.641,0.6086,0.641,0.6137,0.6113,0.1388,0.1493
Mean,0.5938,0.5593,0.5938,0.5645,0.5718,0.0299,0.031
Std,0.0452,0.0693,0.0452,0.0491,0.0458,0.1088,0.1115
