Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.525,0.5659,0.525,0.4989,0.5095,-0.0983,-0.0998
1,0.65,0.6319,0.65,0.6147,0.6033,0.1139,0.1321
2,0.65,0.511,0.65,0.6026,0.5516,0.0411,0.0721
3,0.575,0.6676,0.575,0.5531,0.5611,0.0173,0.0176
4,0.5385,0.5171,0.5385,0.5056,0.5171,-0.0701,-0.0722
5,0.7179,0.6124,0.7179,0.7262,0.6641,0.2326,0.2988
6,0.7179,0.6834,0.7179,0.7262,0.6641,0.2326,0.2988
7,0.7436,0.6331,0.7436,0.7381,0.7184,0.3478,0.378
8,0.641,0.7707,0.641,0.6012,0.6057,0.087,0.0945
9,0.641,0.6124,0.641,0.6012,0.6057,0.087,0.0945
Mean,0.64,0.6206,0.64,0.6168,0.6001,0.0991,0.1214
Std,0.0713,0.074,0.0713,0.0835,0.0642,0.1325,0.1516
