Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6,0.5495,0.6,0.5373,0.5467,-0.0127,-0.0147
1,0.6,0.5714,0.6,0.5373,0.5467,-0.0127,-0.0147
2,0.625,0.7335,0.625,0.5383,0.5364,-0.0067,-0.0099
3,0.55,0.6154,0.55,0.4598,0.49,-0.1392,-0.1615
4,0.5897,0.5296,0.5897,0.4259,0.4946,-0.1429,-0.2041
5,0.6923,0.6908,0.6923,0.6852,0.621,0.1429,0.2041
6,0.641,0.5444,0.641,0.5843,0.5852,0.0455,0.0542
7,0.7179,0.6169,0.7179,0.7071,0.6827,0.2667,0.3015
8,0.5641,0.4053,0.5641,0.5134,0.5313,-0.0851,-0.0898
9,0.6667,0.5829,0.6667,0.7807,0.5566,0.0898,0.2168
Mean,0.6247,0.584,0.6247,0.5769,0.5591,0.0146,0.0282
Std,0.052,0.0858,0.052,0.1074,0.0551,0.1212,0.1584
