Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.6511,0.625,0.5959,0.6007,0.1018,0.1067
1,0.5,0.456,0.5,0.5156,0.5067,-0.0638,-0.0642
2,0.475,0.4148,0.475,0.4163,0.441,-0.2575,-0.2699
3,0.6,0.6291,0.6,0.5578,0.5661,0.0244,0.0262
4,0.5385,0.4743,0.5385,0.5385,0.5385,-0.0029,-0.0029
5,0.641,0.5828,0.641,0.6277,0.6327,0.16,0.1612
6,0.6923,0.6568,0.6923,0.6818,0.6852,0.28,0.282
7,0.641,0.6568,0.641,0.6556,0.6467,0.2222,0.2236
8,0.5897,0.6169,0.5897,0.5897,0.5897,0.0769,0.0769
9,0.6154,0.5444,0.6154,0.5766,0.5865,0.0426,0.0449
Mean,0.5918,0.5683,0.5918,0.5756,0.5794,0.0584,0.0585
Std,0.0645,0.0862,0.0645,0.0719,0.0674,0.1444,0.1478
