Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.575,0.5151,0.575,0.5679,0.5711,0.0503,0.0504
1,0.575,0.5275,0.575,0.5679,0.5711,0.0503,0.0504
2,0.625,0.4698,0.625,0.6074,0.6127,0.1329,0.135
3,0.575,0.478,0.575,0.5531,0.5611,0.0173,0.0176
4,0.4359,0.43,0.4359,0.4521,0.4429,-0.1884,-0.1895
5,0.6667,0.608,0.6667,0.6494,0.654,0.2041,0.2076
6,0.4872,0.5192,0.4872,0.5556,0.5009,0.0,0.0
7,0.641,0.5828,0.641,0.6148,0.6212,0.125,0.1291
8,0.4615,0.5,0.4615,0.5211,0.4768,-0.0678,-0.0725
9,0.5641,0.4408,0.5641,0.6058,0.5761,0.1053,0.1091
Mean,0.5606,0.5071,0.5606,0.5695,0.5588,0.0429,0.0437
Std,0.073,0.054,0.073,0.0527,0.0632,0.1063,0.1083
