Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.6387,0.65,0.6026,0.5516,0.0411,0.0721
1,0.75,0.6635,0.75,0.8194,0.7007,0.3421,0.4543
2,0.575,0.5357,0.575,0.4786,0.5057,-0.0968,-0.1189
3,0.65,0.6264,0.65,0.6147,0.6033,0.1139,0.1321
4,0.6154,0.605,0.6154,0.5214,0.5419,-0.0465,-0.0598
5,0.5897,0.608,0.5897,0.498,0.5259,-0.0909,-0.1085
6,0.7179,0.6331,0.7179,0.7071,0.6827,0.2667,0.3015
7,0.5897,0.5562,0.5897,0.5327,0.5494,-0.0435,-0.0472
8,0.5641,0.4615,0.5641,0.5134,0.5313,-0.0851,-0.0898
9,0.641,0.6071,0.641,0.6068,0.594,0.1078,0.1254
Mean,0.6343,0.5935,0.6343,0.5895,0.5787,0.0509,0.0661
Std,0.058,0.0568,0.058,0.1011,0.0631,0.1475,0.1821
