Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.6319,0.625,0.6074,0.6127,0.1329,0.135
1,0.65,0.6223,0.65,0.6147,0.6033,0.1139,0.1321
2,0.55,0.5934,0.55,0.5345,0.541,-0.0227,-0.0229
3,0.625,0.6813,0.625,0.5959,0.6007,0.1018,0.1067
4,0.5641,0.4871,0.5641,0.5256,0.5365,-0.0279,-0.0293
5,0.641,0.6568,0.641,0.6277,0.6327,0.16,0.1612
6,0.5641,0.5932,0.5641,0.4798,0.5097,-0.1333,-0.1508
7,0.641,0.5118,0.641,0.6277,0.6327,0.16,0.1612
8,0.5897,0.503,0.5897,0.5556,0.5671,0.0,0.0
9,0.5385,0.5325,0.5385,0.5385,0.5385,-0.0385,-0.0385
Mean,0.5988,0.5813,0.5988,0.5707,0.5775,0.0446,0.0455
Std,0.0401,0.0651,0.0401,0.0483,0.0422,0.0964,0.1019
