Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.6113,0.65,0.6026,0.5516,0.0411,0.0721
1,0.625,0.7637,0.625,0.4167,0.5,-0.049,-0.1175
2,0.675,0.4904,0.675,0.7833,0.5667,0.0909,0.2182
3,0.65,0.6607,0.65,0.6026,0.5516,0.0411,0.0721
4,0.641,0.51,0.641,0.6007,0.5712,0.0746,0.0994
5,0.6923,0.6464,0.6923,0.6852,0.621,0.1429,0.2041
6,0.6667,0.6331,0.6667,0.4444,0.5333,0.0,0.0
7,0.6667,0.4615,0.6667,0.6238,0.603,0.093,0.1195
8,0.641,0.4956,0.641,0.4386,0.5208,-0.05,-0.1147
9,0.6667,0.4675,0.6667,0.6171,0.5735,0.0488,0.0822
Mean,0.6574,0.574,0.6574,0.5815,0.5593,0.0433,0.0636
Std,0.0187,0.0974,0.0187,0.1105,0.0345,0.059,0.1083
