Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.6717,0.625,0.6313,0.6278,0.1892,0.1895
1,0.6,0.4849,0.6,0.5733,0.581,0.0588,0.0605
2,0.6,0.6085,0.6,0.6135,0.6053,0.1489,0.1498
3,0.725,0.7802,0.725,0.7227,0.6955,0.3168,0.3518
4,0.5897,0.6129,0.5897,0.5636,0.5708,0.0488,0.0502
5,0.5128,0.4556,0.5128,0.5031,0.5077,-0.1176,-0.1179
6,0.6154,0.3728,0.6154,0.5931,0.6008,0.0816,0.083
7,0.6923,0.5828,0.6923,0.6818,0.6852,0.28,0.282
8,0.5385,0.5237,0.5385,0.5556,0.5457,0.0,0.0
9,0.5385,0.4408,0.5385,0.5195,0.5278,-0.08,-0.0806
Mean,0.6037,0.5534,0.6037,0.5958,0.5947,0.0926,0.0968
Std,0.0634,0.1155,0.0634,0.0653,0.059,0.1355,0.1419
