Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.575,0.5797,0.575,0.4786,0.5057,-0.0968,-0.1189
1,0.625,0.6827,0.625,0.5833,0.5847,0.0683,0.0759
2,0.625,0.5385,0.625,0.5671,0.5638,0.0323,0.0396
3,0.65,0.7335,0.65,0.6219,0.6204,0.1463,0.1572
4,0.4872,0.5357,0.4872,0.4171,0.4447,-0.2303,-0.2478
5,0.641,0.5266,0.641,0.6012,0.6057,0.087,0.0945
6,0.641,0.6169,0.641,0.5556,0.5578,0.0,0.0
7,0.7179,0.5562,0.7179,0.703,0.6967,0.2979,0.3143
8,0.6154,0.568,0.6154,0.5931,0.6008,0.0816,0.083
9,0.6667,0.5828,0.6667,0.6171,0.5735,0.0488,0.0822
Mean,0.6244,0.5921,0.6244,0.5738,0.5754,0.0435,0.048
Std,0.0575,0.0642,0.0575,0.0749,0.0639,0.1326,0.1435
