Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.6264,0.625,0.6074,0.6127,0.1329,0.135
1,0.625,0.5618,0.625,0.5833,0.5847,0.0683,0.0759
2,0.65,0.5824,0.65,0.65,0.65,0.2308,0.2308
3,0.7,0.6923,0.7,0.6922,0.66,0.2405,0.2789
4,0.5641,0.5043,0.5641,0.5256,0.5365,-0.0279,-0.0293
5,0.5128,0.5207,0.5128,0.5031,0.5077,-0.1176,-0.1179
6,0.641,0.5074,0.641,0.5843,0.5852,0.0455,0.0542
7,0.5897,0.5118,0.5897,0.5736,0.5802,0.04,0.0403
8,0.6154,0.5237,0.6154,0.5931,0.6008,0.0816,0.083
9,0.5385,0.4941,0.5385,0.4963,0.513,-0.125,-0.1291
Mean,0.6062,0.5525,0.6062,0.5809,0.5831,0.0569,0.0622
Std,0.053,0.061,0.053,0.0586,0.0494,0.119,0.1262
