Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6,0.5426,0.6,0.6,0.6,0.1209,0.1209
1,0.5,0.4299,0.5,0.4297,0.4577,-0.2195,-0.2359
2,0.55,0.4615,0.55,0.5345,0.541,-0.0227,-0.0229
3,0.6,0.5934,0.6,0.5373,0.5467,-0.0127,-0.0147
4,0.5385,0.5725,0.5385,0.5195,0.5278,-0.08,-0.0806
5,0.6154,0.5695,0.6154,0.608,0.6113,0.1176,0.1179
6,0.5385,0.6065,0.5385,0.4963,0.513,-0.125,-0.1291
7,0.6154,0.645,0.6154,0.5931,0.6008,0.0816,0.083
8,0.3846,0.4497,0.3846,0.4743,0.3895,-0.125,-0.1512
9,0.641,0.6043,0.641,0.6137,0.6113,0.1388,0.1493
Mean,0.5583,0.5475,0.5583,0.5406,0.5399,-0.0126,-0.0163
Std,0.0716,0.0709,0.0716,0.0594,0.0692,0.118,0.1255
