Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.525,0.4959,0.525,0.517,0.5207,-0.0615,-0.0615
1,0.625,0.4849,0.625,0.5833,0.5847,0.0683,0.0759
2,0.525,0.4588,0.525,0.4989,0.5095,-0.0983,-0.0998
3,0.65,0.6236,0.65,0.63,0.6333,0.1765,0.1816
4,0.6154,0.5932,0.6154,0.608,0.6113,0.1176,0.1179
5,0.7179,0.6834,0.7179,0.7057,0.7072,0.3265,0.3322
6,0.7436,0.7204,0.7436,0.7381,0.7184,0.3478,0.378
7,0.5641,0.4941,0.5641,0.5368,0.5476,-0.0408,-0.0415
8,0.5385,0.4867,0.5385,0.5556,0.5457,0.0,0.0
9,0.641,0.6171,0.641,0.6306,0.6341,0.1947,0.196
Mean,0.6146,0.5658,0.6146,0.6004,0.6013,0.1031,0.1079
Std,0.0733,0.0887,0.0733,0.0745,0.0695,0.1497,0.156
