Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.6264,0.65,0.6026,0.5516,0.0411,0.0721
1,0.625,0.7047,0.625,0.4167,0.5,-0.049,-0.1175
2,0.7,0.5302,0.7,0.7947,0.6156,0.1781,0.3126
3,0.65,0.6456,0.65,0.6026,0.5516,0.0411,0.0721
4,0.641,0.5343,0.641,0.5953,0.5411,0.0387,0.0684
5,0.7179,0.6243,0.7179,0.8018,0.6392,0.1951,0.3288
6,0.6923,0.5917,0.6923,0.6852,0.621,0.1429,0.2041
7,0.6667,0.4793,0.6667,0.6238,0.603,0.093,0.1195
8,0.641,0.5888,0.641,0.4386,0.5208,-0.05,-0.1147
9,0.641,0.5148,0.641,0.4386,0.5208,-0.05,-0.1147
Mean,0.6625,0.584,0.6625,0.6,0.5665,0.0581,0.0831
Std,0.0291,0.0656,0.0291,0.1312,0.0466,0.088,0.1575
