Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.6223,0.625,0.5383,0.5364,-0.0067,-0.0099
1,0.525,0.4245,0.525,0.4989,0.5095,-0.0983,-0.0998
2,0.55,0.3997,0.55,0.4598,0.49,-0.1392,-0.1615
3,0.675,0.4093,0.675,0.653,0.6401,0.1925,0.2138
4,0.6923,0.3787,0.6923,0.6696,0.6621,0.2174,0.2362
5,0.5641,0.5621,0.5641,0.5134,0.5313,-0.0851,-0.0898
6,0.6154,0.4645,0.6154,0.5556,0.5674,0.0,0.0
7,0.5897,0.4438,0.5897,0.498,0.5259,-0.0909,-0.1085
8,0.641,0.5311,0.641,0.5843,0.5852,0.0455,0.0542
9,0.641,0.5929,0.641,0.6137,0.6113,0.1388,0.1493
Mean,0.6119,0.4829,0.6119,0.5585,0.5659,0.0174,0.0184
Std,0.0515,0.0828,0.0515,0.0666,0.0546,0.1213,0.1339
