Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.725,0.5673,0.725,0.7156,0.7072,0.3413,0.3577
1,0.7,0.6181,0.7,0.6867,0.6857,0.2941,0.3026
2,0.625,0.5536,0.625,0.5833,0.5847,0.0683,0.0759
3,0.5,0.4904,0.5,0.46,0.4762,-0.1765,-0.1816
4,0.6667,0.5857,0.6667,0.649,0.6131,0.1564,0.1927
5,0.641,0.6834,0.641,0.6012,0.6057,0.087,0.0945
6,0.641,0.6627,0.641,0.6148,0.6212,0.125,0.1291
7,0.5897,0.5059,0.5897,0.498,0.5259,-0.0909,-0.1085
8,0.641,0.4763,0.641,0.5843,0.5852,0.0455,0.0542
9,0.5641,0.3817,0.5641,0.5368,0.5476,-0.0408,-0.0415
Mean,0.6294,0.5525,0.6294,0.593,0.5953,0.0809,0.0875
Std,0.0621,0.0871,0.0621,0.0758,0.0658,0.1526,0.1615
