Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.475,0.4753,0.475,0.5423,0.4839,-0.0048,-0.0053
1,0.525,0.5412,0.525,0.5623,0.5357,0.0355,0.0367
2,0.45,0.4135,0.45,0.4813,0.4615,-0.134,-0.137
3,0.525,0.4148,0.525,0.4439,0.474,-0.1801,-0.2
4,0.7179,0.6509,0.7179,0.8018,0.6392,0.1951,0.3288
5,0.5385,0.4941,0.5385,0.4963,0.513,-0.125,-0.1291
6,0.6667,0.6568,0.6667,0.4444,0.5333,0.0,0.0
7,0.641,0.5044,0.641,0.4386,0.5208,-0.05,-0.1147
8,0.641,0.5473,0.641,0.5556,0.5578,0.0,0.0
9,0.641,0.66,0.641,0.6068,0.594,0.1078,0.1254
Mean,0.5821,0.5358,0.5821,0.5373,0.5313,-0.0155,-0.0095
Std,0.0857,0.0891,0.0857,0.1038,0.0521,0.1082,0.1459
