Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.475,0.4299,0.475,0.4447,0.4578,-0.2139,-0.2172
1,0.7,0.5385,0.7,0.6859,0.6746,0.2683,0.2883
2,0.675,0.658,0.675,0.653,0.6401,0.1925,0.2138
3,0.65,0.6044,0.65,0.6219,0.6204,0.1463,0.1572
4,0.6154,0.5157,0.6154,0.5745,0.5749,0.061,0.0679
5,0.6667,0.5888,0.6667,0.6494,0.654,0.2041,0.2076
6,0.6667,0.5636,0.6667,0.6398,0.6416,0.1702,0.1796
7,0.5128,0.3033,0.5128,0.4503,0.4762,-0.2128,-0.2245
8,0.5897,0.4201,0.5897,0.498,0.5259,-0.0909,-0.1085
9,0.5128,0.3757,0.5128,0.4805,0.4943,-0.1633,-0.1661
Mean,0.6064,0.4998,0.6064,0.5698,0.576,0.0362,0.0398
Std,0.076,0.1072,0.076,0.088,0.077,0.1782,0.1883
