Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.5646,0.625,0.6074,0.6127,0.1329,0.135
1,0.675,0.6209,0.675,0.6699,0.672,0.2737,0.2742
2,0.625,0.614,0.625,0.6189,0.6216,0.162,0.1623
3,0.525,0.4712,0.525,0.4989,0.5095,-0.0983,-0.0998
4,0.5641,0.52,0.5641,0.5256,0.5365,-0.0279,-0.0293
5,0.641,0.6479,0.641,0.6148,0.6212,0.125,0.1291
6,0.6923,0.7574,0.6923,0.6696,0.6621,0.2174,0.2362
7,0.6923,0.5414,0.6923,0.6741,0.6753,0.25,0.2582
8,0.5641,0.4763,0.5641,0.5134,0.5313,-0.0851,-0.0898
9,0.5385,0.4438,0.5385,0.5195,0.5278,-0.08,-0.0806
Mean,0.6142,0.5657,0.6142,0.5912,0.597,0.087,0.0896
Std,0.0596,0.0913,0.0596,0.0669,0.0615,0.1388,0.1428
