Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.5,0.4396,0.5,0.5,0.5,-0.0989,-0.0989
1,0.475,0.4835,0.475,0.5129,0.4868,-0.066,-0.0682
2,0.575,0.5412,0.575,0.582,0.5782,0.0811,0.0812
3,0.55,0.4505,0.55,0.5345,0.541,-0.0227,-0.0229
4,0.5385,0.4857,0.5385,0.5385,0.5385,-0.0029,-0.0029
5,0.5897,0.5459,0.5897,0.5897,0.5897,0.0769,0.0769
6,0.5385,0.5074,0.5385,0.5556,0.5457,0.0,0.0
7,0.7179,0.6435,0.7179,0.7057,0.7072,0.3265,0.3322
8,0.5897,0.5651,0.5897,0.6404,0.6014,0.1724,0.1814
9,0.4359,0.4349,0.4359,0.4556,0.4448,-0.2222,-0.2236
Mean,0.551,0.5097,0.551,0.5615,0.5533,0.0244,0.0255
Std,0.0731,0.0621,0.0731,0.0685,0.0689,0.1438,0.1464
