Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.575,0.5687,0.575,0.5679,0.5711,0.0503,0.0504
1,0.55,0.6264,0.55,0.55,0.55,0.011,0.011
2,0.65,0.5728,0.65,0.63,0.6333,0.1765,0.1816
3,0.575,0.4849,0.575,0.5531,0.5611,0.0173,0.0176
4,0.5897,0.52,0.5897,0.5636,0.5708,0.0488,0.0502
5,0.641,0.5207,0.641,0.6012,0.6057,0.087,0.0945
6,0.6667,0.7219,0.6667,0.6494,0.654,0.2041,0.2076
7,0.641,0.5636,0.641,0.641,0.641,0.1923,0.1923
8,0.4615,0.4497,0.4615,0.4241,0.4411,-0.2857,-0.2907
9,0.5897,0.3447,0.5897,0.498,0.5259,-0.0909,-0.1085
Mean,0.594,0.5373,0.594,0.5678,0.5754,0.0411,0.0406
Std,0.0575,0.0965,0.0575,0.0656,0.0601,0.1399,0.144
