Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.5536,0.625,0.5959,0.6007,0.1018,0.1067
1,0.625,0.5742,0.625,0.5833,0.5847,0.0683,0.0759
2,0.65,0.581,0.65,0.6219,0.6204,0.1463,0.1572
3,0.6,0.4712,0.6,0.5578,0.5661,0.0244,0.0262
4,0.5897,0.5486,0.5897,0.5276,0.536,-0.0196,-0.0228
5,0.6154,0.6272,0.6154,0.5556,0.5674,0.0,0.0
6,0.6667,0.7041,0.6667,0.6238,0.603,0.093,0.1195
7,0.7179,0.5651,0.7179,0.703,0.6967,0.2979,0.3143
8,0.5897,0.4438,0.5897,0.498,0.5259,-0.0909,-0.1085
9,0.5897,0.3876,0.5897,0.498,0.5259,-0.0909,-0.1085
Mean,0.6269,0.5456,0.6269,0.5765,0.5827,0.053,0.056
Std,0.0393,0.0867,0.0393,0.0602,0.0493,0.111,0.1218
