Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.525,0.456,0.525,0.5327,0.5285,-0.027,-0.0271
1,0.475,0.4973,0.475,0.5593,0.4786,0.0233,0.0271
2,0.45,0.4286,0.45,0.495,0.4627,-0.1,-0.1048
3,0.6,0.6209,0.6,0.6283,0.6083,0.1753,0.1791
4,0.359,0.3857,0.359,0.406,0.3709,-0.2548,-0.2722
5,0.4615,0.3935,0.4615,0.4891,0.4729,-0.1455,-0.1474
6,0.6667,0.6065,0.6667,0.7063,0.6758,0.3158,0.3273
7,0.5128,0.4749,0.5128,0.5389,0.5231,-0.0364,-0.0369
8,0.4872,0.5651,0.4872,0.5556,0.5009,0.0,0.0
9,0.6923,0.6746,0.6923,0.7056,0.6971,0.3333,0.3354
Mean,0.5229,0.5103,0.5229,0.5617,0.5319,0.0284,0.0281
Std,0.0974,0.0958,0.0974,0.0902,0.0959,0.1823,0.188
