Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.5,0.5989,0.5,0.7109,0.4655,0.1525,0.2359
1,0.525,0.4203,0.525,0.4439,0.474,-0.1801,-0.2
2,0.35,0.0,0.35,0.1225,0.1815,0.0,0.0
3,0.575,0.5577,0.575,0.5963,0.5826,0.1099,0.1113
4,0.359,0.4371,0.359,0.4363,0.3149,-0.0992,-0.1493
5,0.641,0.4808,0.641,0.4386,0.5208,-0.05,-0.1147
6,0.5128,0.5769,0.5128,0.641,0.5128,0.1231,0.1538
7,0.3077,0.4615,0.3077,0.1053,0.1569,-0.0519,-0.2294
8,0.3077,0.4423,0.3077,0.3241,0.1956,-0.08,-0.2041
9,0.4103,0.4615,0.4103,0.5128,0.4103,-0.0615,-0.0769
Mean,0.4488,0.4437,0.4488,0.4332,0.3815,-0.0137,-0.0473
Std,0.1116,0.1595,0.1116,0.1922,0.1493,0.1031,0.1565
