Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.6195,0.65,0.4225,0.5121,0.0,0.0
1,0.625,0.6374,0.625,0.4167,0.5,-0.049,-0.1175
2,0.65,0.397,0.65,0.6026,0.5516,0.0411,0.0721
3,0.625,0.5907,0.625,0.4167,0.5,-0.049,-0.1175
4,0.641,0.4704,0.641,0.5556,0.5578,0.0,0.0
5,0.641,0.4822,0.641,0.4386,0.5208,-0.05,-0.1147
6,0.6154,0.4675,0.6154,0.4324,0.5079,-0.0976,-0.1644
7,0.641,0.6169,0.641,0.5556,0.5578,0.0,0.0
8,0.6667,0.5414,0.6667,0.4444,0.5333,0.0,0.0
9,0.6154,0.5543,0.6154,0.4049,0.4884,-0.0503,-0.1214
Mean,0.6371,0.5377,0.6371,0.469,0.523,-0.0255,-0.0563
Std,0.0158,0.0764,0.0158,0.0689,0.0244,0.0381,0.0748
