Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6,0.581,0.6,0.5869,0.592,0.0909,0.0915
1,0.675,0.6071,0.675,0.6699,0.672,0.2737,0.2742
2,0.725,0.6195,0.725,0.7156,0.7072,0.3413,0.3577
3,0.55,0.4629,0.55,0.5167,0.5286,-0.0588,-0.0605
4,0.5897,0.4943,0.5897,0.5482,0.5558,0.0158,0.017
5,0.5897,0.6243,0.5897,0.5556,0.5671,0.0,0.0
6,0.6667,0.6538,0.6667,0.6398,0.6416,0.1702,0.1796
7,0.5641,0.4438,0.5641,0.5556,0.5595,0.0,0.0
8,0.5641,0.3639,0.5641,0.5134,0.5313,-0.0851,-0.0898
9,0.5641,0.4349,0.5641,0.5368,0.5476,-0.0408,-0.0415
Mean,0.6088,0.5286,0.6088,0.5838,0.5903,0.0707,0.0728
Std,0.0561,0.0952,0.0561,0.0652,0.059,0.1383,0.143
