Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6,0.603,0.6,0.5869,0.592,0.0909,0.0915
1,0.6,0.6209,0.6,0.5869,0.592,0.0909,0.0915
2,0.575,0.5838,0.575,0.5531,0.5611,0.0173,0.0176
3,0.575,0.5096,0.575,0.536,0.5474,-0.018,-0.0188
4,0.5897,0.5471,0.5897,0.5276,0.536,-0.0196,-0.0228
5,0.5897,0.574,0.5897,0.5327,0.5494,-0.0435,-0.0472
6,0.6923,0.7322,0.6923,0.6696,0.6621,0.2174,0.2362
7,0.6667,0.5592,0.6667,0.6494,0.654,0.2041,0.2076
8,0.5385,0.3905,0.5385,0.4643,0.4931,-0.1739,-0.189
9,0.6154,0.3624,0.6154,0.5214,0.5419,-0.0465,-0.0598
Mean,0.6042,0.5483,0.6042,0.5628,0.5729,0.0319,0.0307
Std,0.0427,0.1025,0.0427,0.0587,0.0503,0.1143,0.122
