Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6,0.6809,0.6,0.7675,0.6,0.2873,0.3675
1,0.45,0.4729,0.45,0.5357,0.4639,-0.0451,-0.0513
2,0.65,0.6068,0.65,0.6647,0.6558,0.2329,0.2343
3,0.7,0.6581,0.7,0.691,0.6297,0.1459,0.2077
4,0.3846,0.5664,0.3846,0.6534,0.3202,0.0429,0.0895
5,0.7436,0.6605,0.7436,0.7283,0.7268,0.3367,0.3493
6,0.5385,0.4352,0.5385,0.5151,0.5257,-0.1359,-0.137
7,0.6667,0.838,0.6667,0.7962,0.6764,0.3764,0.4431
8,0.6923,0.5648,0.6923,0.6573,0.6564,0.1613,0.1777
9,0.5897,0.5586,0.5897,0.5897,0.5897,0.037,0.037
Mean,0.6015,0.6042,0.6015,0.6599,0.5845,0.1439,0.1718
Std,0.109,0.1084,0.109,0.0879,0.1136,0.1599,0.1785
