Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.975,1.0,0.975,0.9759,0.9747,0.9419,0.9435
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.975,1.0,0.975,0.9759,0.9747,0.9419,0.9435
3,0.925,0.9601,0.925,0.9276,0.9257,0.8324,0.8337
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9487,0.9784,0.9487,0.9487,0.9487,0.8796,0.8796
6,0.9744,1.0,0.9744,0.9753,0.974,0.9384,0.9402
7,0.9487,0.9383,0.9487,0.956,0.9497,0.885,0.8909
8,0.9744,0.966,0.9744,0.9763,0.9746,0.9412,0.9428
9,0.9744,0.9877,0.9744,0.9763,0.9746,0.9412,0.9428
Mean,0.9696,0.983,0.9696,0.9712,0.9697,0.9301,0.9317
Std,0.022,0.0207,0.022,0.021,0.0218,0.0495,0.0489
