Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.975,1.0,0.975,0.9768,0.9752,0.9441,0.9456
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.975,0.9801,0.975,0.9768,0.9752,0.9441,0.9456
3,0.9,0.9316,0.9,0.9235,0.9027,0.7889,0.8071
4,0.8718,0.8796,0.8718,0.8891,0.8751,0.7186,0.7291
5,0.9487,0.9198,0.9487,0.9487,0.9487,0.8796,0.8796
6,0.9744,1.0,0.9744,0.9753,0.974,0.9384,0.9402
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9744,1.0,0.9744,0.9753,0.974,0.9384,0.9402
9,0.7949,0.9506,0.7949,0.8019,0.7709,0.4409,0.4856
Mean,0.9414,0.9662,0.9414,0.9467,0.9396,0.8593,0.8673
Std,0.0628,0.0412,0.0628,0.0583,0.068,0.1633,0.1506
