Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.95,1.0,0.95,0.9567,0.9508,0.8904,0.8958
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.95,0.9744,0.95,0.9567,0.9508,0.8904,0.8958
4,0.9744,1.0,0.9744,0.9753,0.974,0.9384,0.9402
5,0.9744,0.9815,0.9744,0.9763,0.9746,0.9412,0.9428
6,0.9487,1.0,0.9487,0.9523,0.9473,0.8738,0.8808
7,0.9487,0.9475,0.9487,0.956,0.9497,0.885,0.8909
8,0.9487,0.966,0.9487,0.9487,0.9487,0.8796,0.8796
9,0.9487,0.9969,0.9487,0.9487,0.9487,0.8796,0.8796
Mean,0.9644,0.9866,0.9644,0.9671,0.9645,0.9178,0.9206
Std,0.0203,0.0177,0.0203,0.0188,0.0203,0.0468,0.0453
