Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.675,0.5299,0.675,0.4556,0.544,0.0,0.0
1,0.675,0.4345,0.675,0.4556,0.544,0.0,0.0
2,0.675,0.4872,0.675,0.4556,0.544,0.0,0.0
3,0.675,0.584,0.675,0.4556,0.544,0.0,0.0
4,0.6923,0.5448,0.6923,0.4793,0.5664,0.0,0.0
5,0.6923,0.463,0.6923,0.4793,0.5664,0.0,0.0
6,0.6923,0.5617,0.6923,0.4793,0.5664,0.0,0.0
7,0.6923,0.642,0.6923,0.4793,0.5664,0.0,0.0
8,0.6923,0.6667,0.6923,0.4793,0.5664,0.0,0.0
9,0.6923,0.4923,0.6923,0.4793,0.5664,0.0,0.0
Mean,0.6854,0.5406,0.6854,0.4698,0.5575,0.0,0.0
Std,0.0085,0.0715,0.0085,0.0116,0.011,0.0,0.0
