Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.975,0.9801,0.975,0.9768,0.9752,0.9441,0.9456
1,0.95,0.9972,0.95,0.95,0.95,0.886,0.886
2,0.95,0.9658,0.95,0.9567,0.9508,0.8904,0.8958
3,0.975,1.0,0.975,0.9768,0.9752,0.9441,0.9456
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.8974,0.9259,0.8974,0.9231,0.9007,0.7797,0.7993
6,0.9231,0.9753,0.9231,0.926,0.9239,0.8235,0.825
7,0.9487,0.9969,0.9487,0.9487,0.9487,0.8796,0.8796
8,0.9744,1.0,0.9744,0.9753,0.974,0.9384,0.9402
9,0.9487,0.9846,0.9487,0.9487,0.9487,0.8796,0.8796
Mean,0.9542,0.9826,0.9542,0.9582,0.9547,0.8966,0.8997
Std,0.0277,0.0221,0.0277,0.0229,0.0269,0.0606,0.0571
