Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.675,0.5997,0.675,0.639,0.6338,0.1391,0.157
1,0.475,0.3974,0.475,0.485,0.4798,-0.1732,-0.1735
2,0.65,0.6268,0.65,0.6235,0.6303,0.1331,0.1374
3,0.675,0.5385,0.675,0.6575,0.6624,0.2121,0.2157
4,0.641,0.4877,0.641,0.5851,0.5991,0.0215,0.0237
5,0.6154,0.341,0.6154,0.4615,0.5275,-0.1404,-0.1925
6,0.641,0.6111,0.641,0.6067,0.6175,0.0714,0.0741
7,0.6923,0.5309,0.6923,0.6675,0.6721,0.2041,0.2117
8,0.641,0.5247,0.641,0.6067,0.6175,0.0714,0.0741
9,0.6667,0.6605,0.6667,0.6118,0.6172,0.0663,0.0767
Mean,0.6372,0.5318,0.6372,0.5944,0.6057,0.0606,0.0604
Std,0.0581,0.0964,0.0581,0.0652,0.0561,0.1232,0.1352
