Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.95,0.9943,0.95,0.9567,0.9508,0.8904,0.8958
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.925,0.9658,0.925,0.9391,0.9267,0.8387,0.8498
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9487,0.9938,0.9487,0.9487,0.9487,0.8796,0.8796
6,0.9744,1.0,0.9744,0.9753,0.974,0.9384,0.9402
7,0.9487,0.9383,0.9487,0.956,0.9497,0.885,0.8909
8,0.9744,0.9877,0.9744,0.9763,0.9746,0.9412,0.9428
9,0.9487,0.9938,0.9487,0.956,0.9497,0.885,0.8909
Mean,0.967,0.9874,0.967,0.9708,0.9674,0.9258,0.929
Std,0.0254,0.0191,0.0254,0.0218,0.0249,0.0559,0.0531
