Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.975,0.9829,0.975,0.9768,0.9752,0.9441,0.9456
1,0.95,0.9972,0.95,0.95,0.95,0.886,0.886
2,0.95,0.9573,0.95,0.9567,0.9508,0.8904,0.8958
3,0.975,1.0,0.975,0.9768,0.9752,0.9441,0.9456
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.8974,0.9352,0.8974,0.9231,0.9007,0.7797,0.7993
6,0.9744,0.9784,0.9744,0.9763,0.9746,0.9412,0.9428
7,0.9487,0.9815,0.9487,0.9487,0.9487,0.8796,0.8796
8,0.9744,1.0,0.9744,0.9753,0.974,0.9384,0.9402
9,0.9487,0.9784,0.9487,0.9487,0.9487,0.8796,0.8796
Mean,0.9594,0.9811,0.9594,0.9632,0.9598,0.9083,0.9115
Std,0.0261,0.0201,0.0261,0.0207,0.0254,0.0565,0.0524
