Fecha Transferencia,Fecha Producción,Fecha Descongelamiento,Línea celular,Tipo celular,Días de cultivo celular,% Confluencia,Cantidad de Pasajes bool,Cantidad de Pasajes numeric,"Tiempo con bajo suero (DMEM 0,5% SFB) en horas",Origen,% Maduración,Calidad,% Clivaje,Medio Placas del día,Día cambio de medio,Día de evolución,Grado embrionario,Fragmentación celular,ø Eje menor,ø Eje mayor,Tipo de ovocito,Tipo embrión,Yegua receptora N°,Días post-ovulación,Preñez
19/9/2023,12/9/2023,6/9/2023,L.D. TORO K001,MSC-E,6,100,0,1,96,Local,53.91,Feos,46.46,F12,6,D7,II,No,884.8,899,Con ZP,Fresco,631,5,Sin éxito
20/9/2023,12/9/2023,6/9/2023,L.D. TORO K001,MSC-E,6,100,0,1,96,Local,53.91,Feos,46.46,F12,6,D8,III,Sí,604.1,691,Con ZP,Fresco,129 LV,5,Sin éxito
20/9/2023,13/9/2023,6/9/2023,L.D. TORO K001,MSC-E,7,50,0,3,0,Local,40.84,Feos,40.26,Global,5,D7,II,No,938.3,961.4,Con ZP,Fresco,622,5,Sin éxito
20/9/2023,13/9/2023,6/9/2023,L.D. TORO K001,MSC-E,7,50,0,3,0,Local,40.84,Feos,40.26,Global,5,D7,II,No,809.9,815.7,Con ZP,Fresco,R97,5,Exitosa
20/9/2023,13/9/2023,6/9/2023,L.D. TORO K001,MSC-E,7,50,0,3,0,Local,40.84,Feos,40.26,Global,5,D7,II,No,777.9,784.7,Con ZP,Fresco,378,5,Sin éxito
20/9/2023,13/9/2023,6/9/2023,L.D. TORO K001,MSC-E,7,50,0,3,0,Local,40.84,Feos,40.26,Global,5,D7,II,No,854.3,860.9,Con ZP,Fresco,601,5,Sin éxito
21/9/2023,13/9/2023,6/9/2023,L.D. TORO K001,MSC-E,7,50,0,3,0,Local,40.84,Feos,40.26,Global,5,D8,II,No,888.7,890.2,Con ZP,Fresco,723,4,Sin éxito
21/9/2023,14/9/2023,6/9/2023,L.D. TORO K001,MSC-E,8,50,0,3,0,Local,49.28,Feos,38.3,Global,5,D7,I,No,821,824.4,Con ZP,Fresco,261,4,Sin éxito
21/9/2023,14/9/2023,6/9/2023,L.D. TORO K001,MSC-E,8,50,0,3,0,Local,49.28,Feos,38.3,Global,5,D7,II,No,737.2,830.3,Con ZP,Fresco,545,4,Exitosa
21/9/2023,14/9/2023,6/9/2023,L.D. TORO K001,MSC-E,8,50,0,3,0,Local,49.28,Feos,38.3,Global,5,D7,II,No,753.4,778.1,Con ZP,Fresco,408,4,Sin éxito
21/9/2023,14/9/2023,6/9/2023,L.D. TORO K001,MSC-E,8,50,0,3,0,Local,49.28,Feos,38.3,Global,5,D7,I,No,839.5,847.6,Con ZP,Fresco,146,5,Sin éxito
22/9/2023,13/9/2023,6/9/2023,L.D. TORO K001,MSC-E,7,50,0,3,0,Local,40.84,Feos,40.26,Global,5,D9,III,No,722,755.9,Con ZP,Fresco,469,5,Sin éxito
22/9/2023,14/9/2023,6/9/2023,L.D. TORO K001,MSC-E,8,50,0,3,0,Local,49.28,Feos,38.3,Global,5,D8,III,No,632.1,752,Con ZP,Fresco,567,5,Exitosa
26/9/2023,19/9/2023,13/9/2023,Cuartetera K230,MSC-E,6,100,0,1,96,Local,47.91,Sin observaciones,30.53,Global,6,D7,III,No,680.3,713.3,Con ZP,Fresco,119 LV,4,Sin éxito
26/9/2023,19/9/2023,13/9/2023,Cuartetera K230,MSC-E,6,100,0,1,96,Local,47.91,Sin observaciones,30.53,Global,6,D7,III,Sí,528.3,544.2,Con ZP,Fresco,517,5,Sin éxito
28/9/2023,21/9/2023,13/9/2023,Cuartetera K230,MSC-E,8,100,0,1,72,Local,57.93,Sin observaciones,35.4,Global,5,D7,II,No,953.4,968.3,Con ZP,Fresco,528,4,Sin éxito
28/9/2023,21/9/2023,13/9/2023,Cuartetera K230,MSC-E,8,100,0,1,72,Local,57.93,Sin observaciones,35.4,Global,5,D7,II,No,799.3,810.7,Con ZP,Fresco,320,4,Exitosa
