Fecha Transferencia,Fecha Producción,Fecha Descongelamiento,Línea celular,Tipo celular,Días de cultivo celular,% Confluencia,Cantidad de Pasajes bool,Cantidad de Pasajes numeric,"Tiempo con bajo suero (DMEM 0,5% SFB) en horas",Origen,% Maduración,Calidad,% Clivaje,Medio Placas del día,Día cambio de medio,Día de evolución,Grado embrionario,Fragmentación celular,ø Eje menor,ø Eje mayor,Tipo de ovocito,Tipo embrión,Yegua receptora N°,Días post-ovulación,Preñez,Nacimientos
3/01/2024,27/12/2023,20/12/2023,Oki Doki K412,FB-E,7,100,1,1,48,Extranjero,53.25,Sin observaciones,44.71,F12,5,D7,III,No,,,Con ZP,Fresco,364,5,Exitosa,EXITOSO
3/01/2024,27/12/2023,20/12/2023,Oki Doki K412,FB-E,7,100,1,1,48,Extranjero,53.25,Sin observaciones,44.71,F12,5,D7,II,No,,,Con ZP,Fresco,359 LV,5,Exitosa,EXITOSO
5/01/2024,27/12/2023,20/12/2023,Oki Doki K412,FB-E,7,100,1,1,48,Extranjero,56.5,Sin observaciones,44.71,F12,5,D9,III,No,,,Con ZP,Fresco,89,4,Exitosa,EXITOSO
07/02/2024,30/1/2024,25/1/2024,Cuartetera K230,MSC-E,5,100,0,1,24,Local,54.06,Sin observaciones,50,F12,6,D8,II,No,774.4,778.5,Con ZP,Fresco,404,5,Exitosa,EXITOSO
8/02/2024,1/2/2024,24/1/2024,S3 Dubai K290,MSC-E,8,85,0,2,24,Extranjero,64.41,Sin observaciones,54.02,F12,5,D7,III,Sí,525.6,558.5,Con ZP,Fresco,407,4,Exitosa,EXITOSO
13/02/2024,6/2/2024,1/2/2024,WILSON K359,MSC-E,5,100,0,1,96,Local,54.41,Sin observaciones,27.56,F12,6,D7,II,No,,,Con ZP,Fresco,352,5,Exitosa,EXITOSO
13/02/2024,6/2/2024,1/2/2024,WILSON K359,MSC-E,5,100,0,1,96,Local,54.41,Sin observaciones,27.56,F12,6,D7,II,No,,,Con ZP,Fresco,631,4,Exitosa,EXITOSO
15/02/2024,8/2/2024,31/1/2024,Cuartetera K230,MSC-E,8,100,0,1,72,Local,65.35,Sin observaciones,45.61,F12,5,D7,II,No,776,870.5,Con ZP,Fresco,705,4,Exitosa,EXITOSO
15/02/2024,8/2/2024,31/1/2024,Cuartetera K230,MSC-E,8,100,0,1,72,Local,65.35,Sin observaciones,45.61,F12,5,D7,II,No,762,776,Con ZP,Fresco,302,4,Exitosa,EXITOSO
15/02/2024,8/2/2024,31/1/2024,Cuartetera K230,MSC-E,8,100,0,1,72,Local,65.35,Sin observaciones,45.61,F12,5,D7,II,No,849,875.1,Con ZP,Fresco,317,4,Exitosa,EXITOSO
15/02/2024,8/2/2024,31/1/2024,Cuartetera K230,MSC-E,8,100,0,1,72,Local,65.35,Sin observaciones,45.61,F12,5,D7,II,No,855.3,896.2,Con ZP,Fresco,502,4,Exitosa,SIN ÉXITO
15/02/2024,8/2/2024,31/1/2024,Cuartetera K230,MSC-E,8,100,0,1,72,Local,65.35,Sin observaciones,45.61,F12,5,D7,III,No,588.8,691.6,Con ZP,Fresco,420 LV,4,Exitosa,EXITOSO
15/02/2024,8/2/2024,31/1/2024,Cuartetera K230,MSC-E,8,100,0,1,72,Local,65.35,Sin observaciones,45.61,F12,5,D7,III,Sí,673.3,764.4,Con ZP,Fresco,48,5,Exitosa,SIN ÉXITO
16/02/2024,8/2/2024,31/1/2024,Cuartetera K230,MSC-E,8,100,0,1,72,Local,65.35,Sin observaciones,45.61,F12,5,D8,III,Sí,544.9,608,Con ZP,Fresco,539,5,Exitosa,EXITOSO
27/02/2024,20/2/2024,14/2/2024,Quinta 027 K429,MSC-E,6,100,0,1,96,Local,56.76,Sin observaciones,53.27,F12,6,D7,II,No,819.1,835.5,Con ZP,Fresco,347,5,Exitosa,SIN ÉXITO
27/02/2024,20/2/2024,14/2/2024,Quinta 027 K429,MSC-E,6,100,0,1,96,Local,56.76,Sin observaciones,53.27,F12,6,D7,III,Sí,604.8,677.3,Con ZP,Fresco,337,4,Exitosa,SIN ÉXITO
27/02/2024,20/2/2024,14/2/2024,Quinta 027 K429,MSC-E,6,100,0,1,96,Local,56.76,Sin observaciones,53.27,F12,6,D7,III,Sí,484.1,570.3,Con ZP,Fresco,335,5,Exitosa,SIN ÉXITO
28/02/2024,20/2/2024,14/2/2024,Quinta 027 K429,MSC-E,6,100,0,1,96,Local,56.76,Sin observaciones,53.27,F12,6,D8,III,No,622.2,636,Con ZP,Fresco,242,5,Exitosa,EXITOSO
28/02/2024,20/2/2024,14/2/2024,Quinta 027 K429,MSC-E,6,100,0,1,96,Local,56.76,Sin observaciones,53.27,F12,6,D8,III,Sí,491.8,554.9,Con ZP,Fresco,B98,5,Exitosa,SIN ÉXITO
06/03/2024,27/2/2024,22/2/2024,WILSON K359,MSC-E,5,100,0,1,96,Local,52.14,Sin observaciones,55.81,F12,6,D8,II,No,738,739,Con ZP,Fresco,418,5,Exitosa,EXITOSO
07/03/2024,28/2/2024,22/2/2024,WILSON K359,MSC-E,6,100,0,1,72,Local,63.2,Sin observaciones,51.16,Global,5,D8,II,No,842.8,892.4,Con ZP,Fresco,612,5,Exitosa,EXITOSO
08/03/2024,28/2/2024,22/2/2024,WILSON K359,MSC-E,6,100,0,1,72,Local,63.2,Sin observaciones,51.16,Global,5,D9,II,Sí,769,769.1,Con ZP,Fresco,420,5,Exitosa,EXITOSO
08/03/2024,28/2/2024,22/2/2024,WILSON K359,MSC-E,6,100,0,1,72,Local,63.2,Sin observaciones,51.16,Global,5,D9,II,No,764.4,835.9,Con ZP,Fresco,434,5,Exitosa,EXITOSO
